drawdown_bucket,strategy,avg_strategy_return,avg_benchmark_return,avg_active_return,hit_rate_vs_passive,downside_protection_rate,best_active_period,worst_active_period,observations
deep_drawdown,covered_call,-0.003962272269387689,-0.00970746014180183,0.0057451878724141415,0.8888888888888888,1.0,0.07339450797880656,-0.16461207252423554,54
deep_drawdown,collar,-0.004202612782085861,-0.00970746014180183,0.005504847359715972,0.7777777777777778,1.0,0.31282214750929727,-0.176166969191041,54
deep_drawdown,stress_aware_overlay,-0.007749420600219781,-0.00970746014180183,0.0019580395415820483,0.7222222222222222,0.90625,0.31282214750929727,-0.176166969191041,54
moderate_drawdown,covered_call,-0.002168657129730742,-0.004268555496277871,0.002099898366547129,0.8,1.0,0.015072233893305843,-0.04302422014571035,30
moderate_drawdown,collar,-0.0035044786174191463,-0.004268555496277871,0.0007640768788587255,0.8,1.0,0.04198544396048688,-0.049161892891992166,30
moderate_drawdown,stress_aware_overlay,-0.006719584194701827,-0.004268555496277871,-0.0024510286984239585,0.3333333333333333,0.35294117647058826,0.021953938537306733,-0.049161892891992166,30
near_peak,covered_call,0.026754522830659794,0.03998139453484877,-0.01322687170418899,0.56,1.0,0.018364968351368388,-0.08889306683626616,50
near_peak,collar,0.021316467266734508,0.03998139453484877,-0.018664927268114275,0.52,1.0,0.006164961990511725,-0.09192215371219495,50
near_peak,stress_aware_overlay,0.03071400632795508,0.03998139453484877,-0.009267388206893707,0.28,0.7,0.009829613255506908,-0.08889306683626616,50
shallow_drawdown,covered_call,0.006303431161568177,0.0105802309523275,-0.004276799790759322,0.7647058823529411,1.0,0.017032409575275576,-0.07952405663000273,17
shallow_drawdown,collar,0.0010309418274476998,0.0105802309523275,-0.009549289124879798,0.7647058823529411,1.0,0.005933060131974581,-0.08912140022656817,17
shallow_drawdown,stress_aware_overlay,0.00212444665616077,0.0105802309523275,-0.00845578429616673,0.23529411764705882,0.125,0.017032409575275576,-0.08912140022656817,17
